RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,GWAP,
5/14/2026 3:10:00 AM,DIPC,5/14/2026 3:15:00 AM,CVIS,7423,
5/14/2026 3:10:00 AM,DIPC,5/14/2026 3:15:00 AM,CLUZ,7423,
5/14/2026 3:10:00 AM,DIPC,5/14/2026 3:15:00 AM,System,6938.0585,
5/14/2026 6:15:00 PM,DIPC,5/14/2026 6:20:00 PM,CMIN,30121.4692,
5/14/2026 6:15:00 PM,DIPC,5/14/2026 6:20:00 PM,CVIS,26665.4542,
5/14/2026 6:15:00 PM,DIPC,5/14/2026 6:20:00 PM,CLUZ,11426.4631,
5/14/2026 6:15:00 PM,DIPC,5/14/2026 6:20:00 PM,System,16387.9927,
5/14/2026 6:15:00 PM,DIPC,5/14/2026 6:20:00 PM,CLUZ_CVIS,13482.4425,
5/14/2026 7:15:00 PM,DIPC,5/14/2026 7:20:00 PM,CMIN,28304.0994,
5/14/2026 7:15:00 PM,DIPC,5/14/2026 7:20:00 PM,CVIS,15300.7656,
5/14/2026 7:15:00 PM,DIPC,5/14/2026 7:20:00 PM,CLUZ,11770.6393,
5/14/2026 7:15:00 PM,DIPC,5/14/2026 7:20:00 PM,System,15012.2343,
5/14/2026 7:15:00 PM,DIPC,5/14/2026 7:20:00 PM,CLUZ_CVIS,12251.7511,
5/14/2026 9:30:00 PM,DIPC,5/14/2026 9:35:00 PM,CMIN,24942.8576,
5/14/2026 9:30:00 PM,DIPC,5/14/2026 9:35:00 PM,CVIS,6478.7147,
5/14/2026 9:30:00 PM,DIPC,5/14/2026 9:35:00 PM,CLUZ,6280.6048,
5/14/2026 9:30:00 PM,DIPC,5/14/2026 9:35:00 PM,System,9480.9552,
5/14/2026 9:30:00 PM,DIPC,5/14/2026 9:35:00 PM,CLUZ_CVIS,6307.1572,
5/14/2026 10:55:00 PM,DIPC,5/14/2026 11:00:00 PM,CMIN,57000,
5/14/2026 10:55:00 PM,DIPC,5/14/2026 11:00:00 PM,CVIS,57000,
5/14/2026 10:55:00 PM,DIPC,5/14/2026 11:00:00 PM,CLUZ,3529.8978,
5/14/2026 12:25:00 AM,DIPC,5/14/2026 12:30:00 AM,CMIN,5978.2569,
5/14/2026 12:25:00 AM,DIPC,5/14/2026 12:30:00 AM,CVIS,7423,
5/14/2026 12:25:00 AM,DIPC,5/14/2026 12:30:00 AM,CLUZ,2906.4476,
5/14/2026 12:25:00 AM,DIPC,5/14/2026 12:30:00 AM,System,3927.1020,
5/14/2026 12:25:00 AM,DIPC,5/14/2026 12:30:00 AM,CLUZ_CVIS,3529.1969,
5/14/2026 10:55:00 PM,DIPC,5/14/2026 11:00:00 PM,System,18294.8711,
5/14/2026 10:55:00 PM,DIPC,5/14/2026 11:00:00 PM,CLUZ_CVIS,10722.3070,
5/14/2026 11:15:00 PM,DIPC,5/14/2026 11:20:00 PM,CMIN,54000,
5/14/2026 11:15:00 PM,DIPC,5/14/2026 11:20:00 PM,CVIS,54000,
5/14/2026 11:15:00 PM,DIPC,5/14/2026 11:20:00 PM,CLUZ,3642.5177,
5/14/2026 11:15:00 PM,DIPC,5/14/2026 11:20:00 PM,System,17440.3801,
5/14/2026 11:15:00 PM,DIPC,5/14/2026 11:20:00 PM,CLUZ_CVIS,10361.5981,
5/14/2026 2:10:00 PM,DIPC,5/14/2026 2:15:00 PM,System,7423,
5/14/2026 2:10:00 PM,DIPC,5/14/2026 2:15:00 PM,CLUZ_CVIS,7423,
